#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
51300,-22996.5768867789,5710.069986938491,-17286.50689984041,303.2065125556752,82.5
51480,-22827.88700347583,5543.999888546506,-17283.887114929323,294.388138089444,82.5
51660,-22833.860167294086,5473.692870490337,-17360.16729680375,290.65481331378226,82.5
51840,-22884.645685049487,5447.846483174207,-17436.79920187528,289.2823620166505,82.5
52020,-22878.39630901089,5530.686183713224,-17347.710125297664,293.6811761746288,82.5
52200,-22734.416802567066,5478.869724770667,-17255.5470777964,290.9297059045804,82.5
52380,-22767.865593111957,5500.296587598996,-17267.56900551296,292.0674790611349,82.5
52560,-22968.851152083458,5780.208567585466,-17188.642584497993,306.93089325192244,82.5
52740,-22764.170316990887,5598.730335845075,-17165.439981145813,297.29434205786663,82.5
52920,-22533.350396333495,5462.0999422322475,-17071.250454101246,290.0392251764242,82.5
53100,-22820.662039235962,5679.9128225345075,-17140.749216701453,301.60515763911275,82.5
53280,-22634.060836208344,5433.863252864846,-17200.1975833435,288.53984808843904,82.5
53460,-22663.65880595724,5442.535786936182,-17221.123019021055,289.0003623757954,82.5
53640,-22669.62424766236,5508.793045640203,-17160.831202022157,292.5186436559022,82.5
53820,-22720.783984622612,5664.103925027156,-17056.680059595456,300.7657002083774,82.5
54000,-22770.558930046012,5710.185623117086,-17060.373306928926,303.2126528731349,82.5
54180,-22642.341336269616,5613.919190463038,-17028.422145806577,298.1008750161249,82.5
54360,-22770.69815516952,5712.995071123799,-17057.703084045723,303.3618354460755,82.5
54540,-22553.225121467258,5560.8472601156545,-16992.377861351604,295.2827388195394,82.5
54720,-22589.257071447893,5672.061471445551,-16917.195600002342,301.1882484264449,82.5
54900,-22680.314413154134,5789.951992815912,-16890.36242033822,307.44827219670384,82.5
55080,-22561.303547279153,5670.913617042833,-16890.38993023632,301.1272969965734,82.5
55260,-22584.257158181616,5698.939486749398,-16885.317671432218,302.61547949424954,82.5
55440,-22531.793845762848,5626.679682631924,-16905.114163130922,298.77846116443345,82.4
55620,-22565.55580042042,5624.363261692064,-16941.192538728355,298.6554584838372,82.4
55800,-22689.915251882267,5738.3795324018165,-16951.53571948045,304.7097583252728,82.4
55980,-22805.403129063227,5825.636081307799,-16979.767047755427,309.3431085209701,82.4
56160,-22590.66546015085,5550.213651148418,-17040.451809002432,294.7180908383042,82.4
56340,-22720.99740530658,5654.618555920081,-17066.3788493865,300.2620241249252,82.4
56520,-22635.36342112768,5597.035526090634,-17038.327895037044,297.20434712675984,82.4
56700,-22603.99864543049,5639.56447644999,-16964.4341689805,299.4626477694158,82.5
56880,-22603.4899751412,5545.6304558729935,-17057.859519268208,294.4747217274174,82.4
57060,-22713.929515462456,5654.023714060311,-17059.905801402143,300.2304378350486,82.4
57240,-22793.97890182404,5681.467594435812,-17112.511307388228,301.68771651616544,82.4
57420,-22547.00207920406,5388.383091731676,-17158.618987472382,286.12483722531437,82.5
